Date, Open, High, Low, Close, Volume
12/31/18, 101.29, 102.40, 100.44, 101.57, 33173765
12/28/18, 102.09, 102.41, 99.52, 100.39, 38169312
12/27/18, 99.30, 101.19, 96.40, 101.18, 49498509
12/26/18, 95.14, 100.69, 93.96, 100.56, 51634793
12/24/18, 97.68, 97.97, 93.98, 94.13, 43935192
12/21/18, 101.63, 103.00, 97.46, 98.23, 111242070
12/20/18, 103.05, 104.31, 98.78, 101.51, 70334184
12/19/18, 103.65, 106.88, 101.35, 103.69, 68198186
12/18/18, 103.75, 104.51, 102.52, 103.97, 49319196
12/17/18, 105.41, 105.80, 101.71, 102.89, 56957314
12/14/18, 108.25, 109.26, 105.50, 106.03, 47043136
12/13/18, 109.58, 110.87, 108.63, 109.45, 31333362
12/12/18, 110.89, 111.27, 109.04, 109.08, 36183020
12/11/18, 109.80, 110.95, 107.44, 108.59, 42381947
12/10/18, 104.80, 107.98, 103.89, 107.59, 40801525
12/07/18, 108.38, 109.45, 104.30, 104.82, 45044937
12/06/18, 105.82, 109.24, 105.00, 109.19, 49107431
12/04/18, 111.94, 112.6373, 108.2115, 108.52, 45196984
12/03/18, 113.00, 113.42, 110.73, 112.09, 34732772
11/30/18, 110.70, 110.97, 109.36, 110.89, 33665624
11/29/18, 110.33, 111.115, 109.03, 110.19, 28123195
11/28/18, 107.89, 111.33, 107.86, 111.12, 46788461
11/27/18, 106.27, 107.33, 105.36, 107.14, 29124486
11/26/18, 104.79, 106.63, 104.58, 106.47, 32336165
11/23/18, 102.17, 103.8099, 102.00, 103.07, 13823099
11/21/18, 103.60, 104.43, 102.24, 103.11, 28130621
11/20/18, 101.80, 102.97, 99.3528, 101.71, 64052457
11/19/18, 108.27, 108.56, 103.55, 104.62, 44773899
11/16/18, 107.08, 108.88, 106.80, 108.29, 33502121
11/15/18, 104.99, 107.80, 103.91, 107.28, 38505165
11/14/18, 108.10, 108.26, 104.47, 104.97, 39495141
11/13/18, 107.55, 108.74, 106.64, 106.94, 35374583
11/12/18, 109.42, 109.96, 106.10, 106.87, 33621807
11/09/18, 110.85, 111.45, 108.76, 109.57, 32039223
11/08/18, 111.80, 112.21, 110.91, 111.75, 25644105
11/07/18, 109.44, 112.24, 109.40, 111.96, 37901704
11/06/18, 107.38, 108.84, 106.28, 107.72, 24340248
11/05/18, 106.37, 107.74, 105.90, 107.51, 27922144
11/02/18, 106.48, 107.32, 104.975, 106.16, 37680194
11/01/18, 107.05, 107.32, 105.53, 105.92, 33384201
10/31/18, 105.435, 108.14, 105.39, 106.81, 51062383
10/30/18, 103.66, 104.38, 100.11, 103.73, 65350878
10/29/18, 108.105, 108.70, 101.63, 103.85, 55162001
10/26/18, 105.69, 108.75, 104.76, 106.96, 55523104
10/25/18, 106.55, 109.27, 106.15, 108.30, 61646819
10/24/18, 108.41, 108.49, 101.5901, 102.32, 63897759
10/23/18, 107.77, 108.97, 105.11, 108.10, 43770429
10/22/18, 109.32, 110.54, 108.24, 109.63, 26545607
10/19/18, 108.93, 110.86, 108.21, 108.66, 32785475
10/18/18, 110.10, 110.53, 107.83, 108.50, 32506192
10/17/18, 111.68, 111.81, 109.5482, 110.71, 26548243
10/16/18, 109.54, 111.41, 108.95, 111.00, 31610164
10/15/18, 108.91, 109.48, 106.9468, 107.60, 32068103
10/12/18, 109.01, 111.24, 107.12, 109.57, 47742109
10/11/18, 105.35, 108.93, 104.20, 105.91, 63904282
10/10/18, 111.24, 111.50, 105.79, 106.16, 61376315
10/09/18, 111.14, 113.08, 110.80, 112.26, 26198594
10/08/18, 109.83, 112.03, 109.34, 110.85, 29640588
10/05/18, 112.63, 113.17, 110.64, 112.13, 29068859
10/04/18, 114.61, 114.7588, 111.63, 112.79, 34821717
10/03/18, 115.42, 116.18, 114.93, 115.17, 16648018
10/02/18, 115.30, 115.84, 114.44, 115.15, 20787239
10/01/18, 114.75, 115.68, 114.73, 115.61, 18883079
09/28/18, 114.19, 114.57, 113.68, 114.37, 21647811
09/27/18, 114.78, 114.91, 114.20, 114.41, 19091299
09/26/18, 114.47, 115.055, 113.74, 113.98, 19352025
09/25/18, 114.80, 115.10, 113.75, 114.45, 22668014
09/24/18, 113.03, 114.90, 112.2175, 114.67, 27334460
09/21/18, 114.00, 115.29, 113.51, 114.26, 71229698
09/20/18, 112.28, 113.80, 111.93, 113.57, 23714512
09/19/18, 113.05, 113.32, 111.035, 111.70, 21728429
09/18/18, 112.19, 113.695, 111.72, 113.21, 22170934
09/17/18, 113.69, 113.70, 111.86, 112.14, 20736516
09/14/18, 113.36, 113.73, 112.44, 113.37, 19122349
09/13/18, 112.12, 113.725, 112.12, 112.91, 26055620
09/12/18, 111.43, 111.85, 110.51, 111.71, 18891064
09/11/18, 108.90, 111.59, 108.89, 111.24, 24301774
09/10/18, 108.84, 109.64, 108.36, 109.38, 20727906
09/07/18, 108.23, 108.7248, 107.23, 108.21, 22498646
09/06/18, 108.25, 108.99, 107.51, 108.74, 23477624
09/05/18, 111.01, 111.42, 108.10, 108.49, 32872352
09/04/18, 110.85, 111.955, 110.22, 111.71, 22634641
08/31/18, 111.685, 112.777, 111.515, 112.33, 23222713
08/30/18, 111.67, 112.61, 111.44, 111.95, 22798702
08/29/18, 110.45, 112.03, 110.27, 112.02, 20818044
08/28/18, 109.94, 110.50, 109.79, 110.26, 19151528
08/27/18, 109.27, 109.64, 108.51, 109.60, 19662331
08/24/18, 107.67, 108.56, 107.56, 108.40, 17234020
08/23/18, 107.15, 108.18, 106.87, 107.56, 18167723
08/22/18, 105.85, 107.34, 105.78, 107.06, 18000639
08/21/18, 106.92, 107.35, 105.85, 105.98, 22881861
08/20/18, 107.51, 107.90, 106.48, 106.87, 17914201
08/17/18, 107.36, 107.90, 106.69, 107.58, 18061512
08/16/18, 108.30, 108.86, 107.30, 107.64, 21384289
08/15/18, 108.49, 108.985, 106.82, 107.66, 29982806
08/14/18, 108.56, 109.75, 108.04, 109.56, 16788314
08/13/18, 109.24, 109.58, 108.10, 108.21, 18474884
08/10/18, 109.42, 109.69, 108.38, 109.00, 18183724
08/09/18, 109.71, 110.16, 109.60, 109.67, 13677211
08/08/18, 109.33, 109.75, 108.7599, 109.49, 15487502
08/07/18, 108.56, 109.10, 108.17, 108.88, 16080214
08/06/18, 108.12, 108.42, 107.559, 108.13, 20265947
08/03/18, 107.80, 108.05, 106.82, 108.04, 18659599
08/02/18, 105.40, 108.09, 104.84, 107.57, 26104258
08/01/18, 106.03, 106.446, 105.42, 106.28, 23628699
07/31/18, 106.49, 106.72, 105.38, 106.08, 27655152
07/30/18, 107.19, 107.53, 104.76, 105.37, 34668327
07/27/18, 110.18, 110.18, 106.14, 107.68, 37005292
07/26/18, 110.74, 111.00, 109.50, 109.62, 31372110
07/25/18, 107.955, 111.15, 107.60, 110.83, 30798058
07/24/18, 108.57, 108.82, 107.26, 107.66, 26316619
07/23/18, 106.30, 108.14, 106.13, 107.97, 29706955
07/20/18, 108.08, 108.20, 106.08, 106.27, 56038827
07/19/18, 104.93, 105.31, 103.89, 104.40, 40171646
07/18/18, 105.94, 106.05, 104.715, 105.12, 29493927
07/17/18, 104.61, 106.50, 104.32, 105.95, 25901726
07/16/18, 105.40, 105.82, 104.515, 104.91, 21786912
07/13/18, 104.37, 105.60, 104.09, 105.43, 24653500
07/12/18, 102.77, 104.41, 102.73, 104.19, 24335929
07/11/18, 101.15, 102.34, 101.10, 101.98, 19644648
07/10/18, 102.00, 102.51, 101.86, 102.12, 19293140
07/09/18, 101.6452, 102.25, 101.251, 101.85, 18211980
07/06/18, 99.885, 101.43, 99.67, 101.16, 19234627
07/05/18, 99.50, 99.92, 99.0299, 99.76, 18977402
07/03/18, 100.48, 100.63, 98.94, 99.05, 14670275
07/02/18, 98.10, 100.06, 98.00, 100.01, 19564521
06/29/18, 98.93, 99.91, 98.33, 98.61, 28053214
06/28/18, 97.38, 99.11, 97.26, 98.63, 26650671
06/27/18, 99.58, 100.02, 97.40, 97.54, 31298386
06/26/18, 98.82, 100.08, 98.75, 99.08, 26897244
06/25/18, 100.00, 100.11, 97.30, 98.39, 35433333
